state,constituency,constituency number,candidate,party,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,evm votes,postal votes,candidate total votes,candidate vote %,total polled votes
Assam,BOKAJAN,108,SAMUEL RONGPI EJANG,Independent,44,138,205,283,377,463,514,556,620,717,783,841,921,993,1037,1056,1072,,,,,,,,,,,,,,,,,1072,4,1076,0.84,128219
Assam,BOKAJAN,108,RAJU RONGPI,Independent,88,297,442,526,638,757,873,959,1024,1097,1163,1226,1318,1404,1473,1507,1512,,,,,,,,,,,,,,,,,1512,9,1521,1.19,128219
Assam,BOKAJAN,108,NOTA,None of the Above,64,184,283,411,554,700,803,891,973,1140,1329,1519,1656,1755,1838,1863,1870,,,,,,,,,,,,,,,,,1870,16,1886,1.47,128219
Assam,BOKAKHAT,105,ATUL BORA,Asom Gana Parishad,4682,9456,14184,18573,23237,28116,32609,38787,44227,50272,55018,59700,66361,72601,79157,80066,80365,80665,,,,,,,,,,,,,,,,80665,322,80987,59.66,135748
Assam,BOKAKHAT,105,BIBEKANANDA RAJOWAR,Gondvana Gantantra Party,118,207,404,661,776,944,1049,1176,1303,1544,1692,1866,2424,2662,2838,2861,2864,2873,,,,,,,,,,,,,,,,2873,9,2882,2.12,135748
Assam,BOKAKHAT,105,HARI PRASAD SAIKIA,Raijor Dal,1440,2724,3770,4609,6095,7769,9094,10233,11576,12879,13956,15154,16296,17768,20014,20241,20297,20388,,,,,,,,,,,,,,,,20388,62,20450,15.06,135748
Assam,BOKAKHAT,105,JITEN GOGOI,Independent,539,1148,2629,3395,4159,5048,6052,6778,7155,8193,9789,10542,11025,11856,12962,13057,13075,13182,,,,,,,,,,,,,,,,13182,49,13231,9.75,135748
Assam,BOKAKHAT,105,PRANAB DOLEY,Independent,1299,2525,3306,5822,6383,6997,7727,8406,9511,9873,11019,12752,13360,13715,13980,13996,14050,14140,,,,,,,,,,,,,,,,14140,110,14250,10.5,135748
Assam,BOKAKHAT,105,HEMANTA DOLOI,Independent,75,133,208,297,353,436,489,549,609,684,749,824,899,1006,1099,1120,1122,1127,,,,,,,,,,,,,,,,1127,3,1130,0.83,135748
Assam,BOKAKHAT,105,NOTA,None of the Above,114,205,404,584,765,1009,1203,1380,1490,1661,1881,2076,2311,2521,2752,2788,2799,2808,,,,,,,,,,,,,,,,2808,10,2818,2.08,135748
